wavelength,mean_reflectance_gt_5
627.94468522,16.251433300000002
628.37021627,16.211264461
628.79572523,16.167520476
629.22121207,16.134923016
629.64667677,16.11188925
630.07211931,16.101885242
630.49753969,16.09197755
630.92293786,16.092013137
631.34831383,16.107838706
631.77366756,16.139580400000003
632.19899905,16.176862523
632.62430826,16.214711035
633.04959519,16.245313042
633.4748598,16.269493957
633.90010209,16.281313108
634.32532203,16.287610974
634.75051961,16.293727129
635.17569481,16.323834392000002
635.6008476,16.353657375
636.02597797,16.387186243
636.45108589,16.419472074000005
636.87617136,16.452337351
637.30123435,16.453509699999998
637.72627483,16.456199005
638.15129281,16.456554965000002
638.57628824,16.444360515999996
639.00126112,16.439633619
639.42621142,16.444755724
639.85113913,16.461667071
640.27604422,16.480891345
640.70092669,16.515630371999997
641.1257865,16.540544237
641.55062364,16.566242722
641.97543809,16.574340597
642.40022983,16.548102593000003
642.82499885,16.530190852000004
643.24974512,16.504342825000002
643.67446862,16.478026132999997
644.09916934,16.445961793
644.52384726,16.422799775
644.94850235,16.387746979
645.3731346,16.352393364999998
645.79774399,16.321882938999998
646.2223305,16.291532106
646.64689411,16.278014757
647.0714348,16.24686889
647.49595255,16.220964184
647.92044735,16.18661398
648.34491917,16.159066491
648.769368,16.122126783000002
649.19379381,16.091171612000004
649.61819659,16.068118707000004
650.04257632,16.036243929999998
650.46693298,16.010980768
650.89126655,15.992510222000002
651.31557701,15.992227021
651.73986434,15.983458377
652.16412852,15.991266821
652.58836954,15.997989019000002
653.01258737,16.004494799
653.436782,16.013140659
653.8609534,16.016819383
654.28510156,16.021317907000004
654.70922646,16.01097808
655.13332808,16.014625228000003
655.5574064,15.996354191
655.9814614,16.000592641999997
656.40549307,16.002969557
656.82950137,16.017353381
657.2534863,16.018133573
657.67744784,16.029214098
658.10138596,16.03596289
658.52530064,16.04998866
658.94919188,16.062537026999998
659.37305964,16.075815112
659.79690391,16.096957568
660.22072468,16.126519191999996
660.64452191,16.148349239
661.0682956,16.177371008
661.49204572,16.216965219000002
661.91577225,16.253014301999997
662.33947518,16.268214047999997
662.76315449,16.266079274
663.18681015,16.255983101
663.61044215,16.232182625
664.03405047,16.192982230000002
664.45763509,16.156453689
664.88119598,16.145403481
665.30473314,16.123965962999996
665.72824655,16.100730909
666.15173617,16.074298794
